,Airline,Source,Destination,Total_Stops,Price,Day,Month,Dep_hour,Dep_minute,Duration_hour,Duration_minute
0,'IndiGo','Banglore','New Delhi',0,3897,24,3,22,20,2,50
1,'Air India','Kolkata','Banglore',2,7662,5,1,5,50,7,25
2,'Jet Airways','Delhi','Cochin',2,13882,6,9,9,25,19,0
3,'IndiGo','Kolkata','Banglore',1,6218,5,12,18,5,5,25
4,'IndiGo','Banglore','New Delhi',1,13302,3,1,16,50,4,45
5,'SpiceJet','Kolkata','Banglore',0,3873,24,6,9,0,2,25
6,'Jet Airways','Banglore','New Delhi',1,11087,3,12,18,55,15,30
7,'Jet Airways','Banglore','New Delhi',1,22270,3,1,8,0,21,5
8,'Jet Airways','Banglore','New Delhi',1,11087,3,12,8,55,25,30
9,'Multiple carriers','Delhi','Cochin',1,8625,27,5,11,25,7,50
10,'Air India','Delhi','Cochin',1,8907,6,1,9,45,13,15
11,'IndiGo','Kolkata','Banglore',0,4174,18,4,20,20,2,35
12,'Air India','Chennai','Kolkata',0,4667,24,6,11,40,2,15
13,'Jet Airways','Kolkata','Banglore',1,9663,5,9,21,10,12,10
14,'IndiGo','Kolkata','Banglore',0,4804,24,4,17,15,2,35
15,'Air India','Delhi','Cochin',2,14011,3,3,16,40,26,35
16,'SpiceJet','Delhi','Cochin',1,5830,15,4,8,45,4,30
17,'Jet Airways','Delhi','Cochin',1,10262,6,12,14,0,22,35
18,'Air India','Delhi','Cochin',2,13381,6,12,20,15,23,0
19,'Jet Airways','Delhi','Cochin',1,12898,27,5,16,0,20,35
20,'GoAir','Delhi','Cochin',1,19495,3,6,14,10,5,10
21,'Air India','Banglore','New Delhi',1,6955,21,3,22,0,15,20
22,'IndiGo','Banglore','Delhi',0,3943,4,3,4,0,2,50
23,'IndiGo','Banglore','Delhi',0,4823,5,1,18,55,2,55
24,'Jet Airways','Kolkata','Banglore',1,7757,5,6,18,55,13,20
25,'Jet Airways','Delhi','Cochin',2,13292,6,9,21,25,15,10
26,'IndiGo','Delhi','Cochin',1,8238,6,1,21,50,5,45
27,'GoAir','Delhi','Cochin',1,7682,15,5,7,0,5,55
28,'Vistara','Banglore','Delhi',0,4668,18,6,9,45,2,50
29,'Vistara','Chennai','Kolkata',0,3687,15,6,7,5,2,15
30,'Vistara','Chennai','Kolkata',0,3687,18,6,7,5,2,15
31,'Air India','Kolkata','Banglore',2,13227,5,1,9,50,13,25
32,'IndiGo','Banglore','Delhi',0,4423,4,6,4,0,2,50
33,'Jet Airways','Delhi','Cochin',2,10919,15,6,14,35,22,0
34,'Jet Airways','Delhi','Cochin',1,12373,18,5,7,5,5,30
35,'IndiGo','Delhi','Cochin',1,5894,27,6,10,35,10,25
36,'SpiceJet','Kolkata','Banglore',1,4649,21,5,15,5,5,15
37,'Air India','Kolkata','Banglore',0,6245,18,5,14,15,2,30
38,'Jet Airways','Banglore','New Delhi',1,19225,3,6,7,0,6,15
39,'Jet Airways','Delhi','Cochin',1,14924,6,3,7,5,11,55
40,'Multiple carriers','Delhi','Cochin',1,9646,21,5,7,5,11,5
41,'Air India','Banglore','New Delhi',1,8714,15,3,6,45,8,30
42,'Jet Airways','Delhi','Cochin',1,12373,18,5,20,55,22,5
43,'Air Asia','Banglore','Delhi',0,3383,5,6,11,10,2,45
44,'Multiple carriers','Delhi','Cochin',1,13062,21,3,9,0,12,0
45,'SpiceJet','Banglore','New Delhi',0,3527,24,3,5,45,2,50
46,'IndiGo','Banglore','Delhi',0,3943,27,5,4,0,2,50
