sno,Airline,Source,Destination,Total_Stops,Price,Day,Month,Dep_hour,Dep_minute,Duration_hour,Duration_minute
362,Vistara,Banglore,Delhi,0,4668,27,6,11,30,2,50
6202,Jet Airways,Delhi,Cochin,2,15129,27,5,5,30,13,30
6348,Jet Airways,Kolkata,Banglore,1,10844,6,9,16,30,6,5
5803,Jet Airways,Delhi,Cochin,2,9254,27,3,5,25,23,0
8786,Multiple carriers,Delhi,Cochin,1,12524,24,6,6,0,13,0
5398,Air India,Banglore,New Delhi,2,13942,3,6,8,15,27,5
8598,Jet Airways,Delhi,Cochin,0,9564,18,4,11,0,3,15
1246,Jet Airways,Kolkata,Banglore,1,8586,5,12,6,30,25,45
3810,Multiple carriers,Delhi,Cochin,1,8925,27,5,10,0,15,30
3161,Jet Airways,Mumbai,Hyderabad,0,4995,6,12,10,20,1,30
4512,Air Asia,Kolkata,Banglore,1,6810,6,6,7,35,15,55
3000,Jet Airways,Delhi,Cochin,1,10577,6,12,8,0,11,0
1738,Jet Airways,Delhi,Cochin,1,14714,6,1,18,15,10,10
6947,IndiGo,Delhi,Cochin,1,6027,21,5,15,10,5,40
2230,SpiceJet,Delhi,Cochin,1,5409,6,6,17,55,4,55
6819,Jet Airways,Banglore,New Delhi,1,13502,3,3,8,0,23,40
5728,IndiGo,Banglore,Delhi,0,3943,27,5,10,10,2,50
1756,Jet Airways,Delhi,Cochin,2,15129,18,5,19,30,8,55
9313,Jet Airways,Banglore,New Delhi,1,7832,21,3,22,50,11,35
7095,Air India,Mumbai,Hyderabad,0,3100,21,3,6,20,1,20
5752,IndiGo,Delhi,Cochin,1,6093,4,9,7,30,13,30
3454,SpiceJet,Banglore,Delhi,0,3625,6,9,5,55,2,40
8226,Jet Airways,Kolkata,Banglore,1,12692,6,6,17,0,16,45
2553,Jet Airways,Delhi,Cochin,1,12373,5,9,11,30,16,55
6824,IndiGo,Banglore,New Delhi,0,5694,24,3,4,0,2,50
6884,SpiceJet,Kolkata,Banglore,0,3841,6,6,6,55,2,35
7697,IndiGo,Delhi,Cochin,1,5912,27,5,15,10,4,50
